lpips_1,lpips_2_A,lpips_2_B
"0.033753763884305954, 0.02846687100827694, 0.02659972384572029, 0.02973981946706772, 0.044742755591869354, 0.06940218806266785, 0.10687412321567535, 0.1537487506866455, 0.20619824528694153, 0.27657824754714966","0.033753763884305954, 0.05684532970190048, 0.09698278456926346, 0.14546360075473785, 0.20263172686100006, 0.25977012515068054, 0.3144133687019348, 0.365127295255661, 0.4104411005973816, 0.4478641152381897","0.5831374526023865, 0.5489241480827332, 0.49826210737228394, 0.4447796642780304, 0.3992184102535248, 0.36266419291496277, 0.3289153575897217, 0.3005044162273407, 0.2844061851501465, 0.27657824754714966"
"0.005837246775627136, 0.006678327452391386, 0.007821373641490936, 0.010474108159542084, 0.014613714069128036, 0.020412534475326538, 0.02445874735713005, 0.02934960275888443, 0.03091537207365036, 0.03976266086101532","0.005837246775627136, 0.010588319040834904, 0.032075993716716766, 0.07852334529161453, 0.14044561982154846, 0.20773668587207794, 0.2799125909805298, 0.36226141452789307, 0.43868914246559143, 0.4891696274280548","0.523078978061676, 0.4928206503391266, 0.4544259309768677, 0.4103214144706726, 0.3556496798992157, 0.30224400758743286, 0.24656036496162415, 0.18669933080673218, 0.11880771815776825, 0.03976266086101532"
"0.028987232595682144, 0.02873169258236885, 0.03170950338244438, 0.03286565840244293, 0.04121384024620056, 0.05105539783835411, 0.06011892110109329, 0.06915877014398575, 0.08083055913448334, 0.09373312443494797","0.028987232595682144, 0.06244217976927757, 0.11625984311103821, 0.1803501546382904, 0.23798055946826935, 0.2980135381221771, 0.36992204189300537, 0.4024384915828705, 0.43973276019096375, 0.47560915350914","0.37433528900146484, 0.32888197898864746, 0.28991928696632385, 0.2547754645347595, 0.21864759922027588, 0.19009695947170258, 0.18931768834590912, 0.13160981237888336, 0.09274454414844513, 0.09373312443494797"
"0.023707371205091476, 0.016241218894720078, 0.01510745007544756, 0.013623900711536407, 0.017607083544135094, 0.02468276396393776, 0.03845876827836037, 0.05626881867647171, 0.07940484583377838, 0.10266562551259995","0.023707371205091476, 0.06062766909599304, 0.14379921555519104, 0.21836543083190918, 0.2799229919910431, 0.3317195475101471, 0.37657585740089417, 0.4168272912502289, 0.45729583501815796, 0.49570536613464355","0.4797888398170471, 0.3856819272041321, 0.2868497669696808, 0.21257998049259186, 0.1609889715909958, 0.11423110961914062, 0.08657251298427582, 0.07655931264162064, 0.08437948673963547, 0.10266562551259995"
"0.12071305513381958, 0.12667246162891388, 0.12988337874412537, 0.1349533349275589, 0.13904373347759247, 0.14720095694065094, 0.1529885083436966, 0.15873003005981445, 0.1639113426208496, 0.17263099551200867","0.12071305513381958, 0.1268773227930069, 0.13106758892536163, 0.13764530420303345, 0.14312434196472168, 0.1527341604232788, 0.1631072610616684, 0.17420685291290283, 0.18585321307182312, 0.1999804675579071","0.17776469886302948, 0.1754298210144043, 0.17157521843910217, 0.16942447423934937, 0.1653567999601364, 0.16555668413639069, 0.1651441752910614, 0.1654798686504364, 0.16608768701553345, 0.17263099551200867"
"0.03842053934931755, 0.03486583009362221, 0.02914205938577652, 0.026986142620444298, 0.033223770558834076, 0.04295092076063156, 0.0510890893638134, 0.055058129131793976, 0.05644017457962036, 0.058343321084976196","0.03842053934931755, 0.05690255016088486, 0.08128228783607483, 0.10941371321678162, 0.14688901603221893, 0.19517755508422852, 0.25431424379348755, 0.31509262323379517, 0.37113913893699646, 0.4192192256450653","0.42967912554740906, 0.378620982170105, 0.3283194601535797, 0.279062956571579, 0.2311839908361435, 0.1861075460910797, 0.14567290246486664, 0.10697454959154129, 0.07637323439121246, 0.058343321084976196"
"0.08441910147666931, 0.08845051378011703, 0.08435148000717163, 0.07797818630933762, 0.07252579927444458, 0.06399432569742203, 0.06776004284620285, 0.05370388925075531, 0.045304957777261734, 0.04382556676864624","0.08441910147666931, 0.06666196882724762, 0.06706088781356812, 0.1049116924405098, 0.179251030087471, 0.28046050667762756, 0.3850423991680145, 0.4358222186565399, 0.45443129539489746, 0.48421984910964966","0.5225430727005005, 0.4918956160545349, 0.45757052302360535, 0.43320605158805847, 0.4069221019744873, 0.3858638107776642, 0.34525880217552185, 0.14906753599643707, 0.06410924345254898, 0.04382556676864624"
"0.12861154973506927, 0.10542157292366028, 0.09080220758914948, 0.0787472128868103, 0.0674523189663887, 0.05703086405992508, 0.04773537069559097, 0.03999956324696541, 0.029364073649048805, 0.02001723274588585","0.12861154973506927, 0.1112385168671608, 0.11090963333845139, 0.12261877954006195, 0.14518141746520996, 0.17428308725357056, 0.2026897668838501, 0.22858789563179016, 0.2571828365325928, 0.2934178113937378","0.3600192070007324, 0.3317716121673584, 0.2983686327934265, 0.2585687041282654, 0.21550533175468445, 0.1699664443731308, 0.12305313348770142, 0.07952940464019775, 0.04294261336326599, 0.02001723274588585"
"0.08412156254053116, 0.05618027597665787, 0.04882393032312393, 0.04525569826364517, 0.05017053708434105, 0.04945266991853714, 0.046493563801050186, 0.04378054291009903, 0.04455028474330902, 0.04474654048681259","0.08412156254053116, 0.09888534992933273, 0.1441994607448578, 0.251738965511322, 0.30488336086273193, 0.3497907519340515, 0.3863564729690552, 0.42115652561187744, 0.4580387473106384, 0.48545393347740173","0.4639551639556885, 0.4508829712867737, 0.4360341429710388, 0.36869123578071594, 0.2779123783111572, 0.20073668658733368, 0.14391936361789703, 0.09659278392791748, 0.06378364562988281, 0.04474654048681259"
"0.050990208983421326, 0.0517851859331131, 0.05392231419682503, 0.062091436237096786, 0.07437589764595032, 0.08735772967338562, 0.1060347855091095, 0.12792938947677612, 0.16429585218429565, 0.2397027164697647","0.050990208983421326, 0.041433993726968765, 0.03637871518731117, 0.037434279918670654, 0.0460585355758667, 0.06343652307987213, 0.08756107091903687, 0.11391477286815643, 0.14648222923278809, 0.18582876026630402","0.3996409773826599, 0.3813709616661072, 0.36133211851119995, 0.3421153128147125, 0.32482609152793884, 0.30756983160972595, 0.29180121421813965, 0.2796000838279724, 0.2615707218647003, 0.2397027164697647"
"0.2684131860733032, 0.23676709830760956, 0.19425451755523682, 0.16562974452972412, 0.13101185858249664, 0.09648612886667252, 0.06952433288097382, 0.06001080572605133, 0.07501073181629181, 0.10535482317209244","0.2684131860733032, 0.27592748403549194, 0.28294163942337036, 0.30052751302719116, 0.3178875148296356, 0.3373725712299347, 0.36426955461502075, 0.3981676697731018, 0.4697692394256592, 0.5762911438941956","0.42457202076911926, 0.4169398844242096, 0.4096463620662689, 0.40782976150512695, 0.39997315406799316, 0.372967928647995, 0.32485443353652954, 0.2574021816253662, 0.15123498439788818, 0.10535482317209244"
"0.05110669881105423, 0.06307744234800339, 0.07332153618335724, 0.07772311568260193, 0.07834861427545547, 0.07582331448793411, 0.05855832248926163, 0.04610683396458626, 0.05633144453167915, 0.09638354182243347","0.05110669881105423, 0.08263733237981796, 0.1269703507423401, 0.19119033217430115, 0.26300936937332153, 0.3343716263771057, 0.4229523241519928, 0.5086215734481812, 0.5427788496017456, 0.5512864589691162","0.5010476112365723, 0.47502487897872925, 0.4420205354690552, 0.40825411677360535, 0.3796704411506653, 0.3555462956428528, 0.351452112197876, 0.33500048518180847, 0.16492336988449097, 0.09638354182243347"
"0.2902715802192688, 0.1072135865688324, 0.05259149149060249, 0.046842388808727264, 0.0633084774017334, 0.0781732127070427, 0.08598954975605011, 0.09802369028329849, 0.10511655360460281, 0.08666083216667175","0.2902715802192688, 0.31804606318473816, 0.33793580532073975, 0.3561013638973236, 0.3740992844104767, 0.3932075500488281, 0.41668400168418884, 0.4474242329597473, 0.47759443521499634, 0.507796049118042","0.3508855700492859, 0.3395707905292511, 0.32787173986434937, 0.3136154115200043, 0.2941659688949585, 0.27444469928741455, 0.24343666434288025, 0.20645257830619812, 0.15816006064414978, 0.08666083216667175"
"0.0856969952583313, 0.07058542221784592, 0.053673047572374344, 0.0410175621509552, 0.03779811039566994, 0.039081305265426636, 0.049754709005355835, 0.07216383516788483, 0.11395282298326492, 0.1896347999572754","0.0856969952583313, 0.0692167580127716, 0.059572651982307434, 0.05897253379225731, 0.06941407918930054, 0.0865272507071495, 0.10948888957500458, 0.1384718269109726, 0.17446520924568176, 0.2148066759109497","0.21396781504154205, 0.19145376980304718, 0.17062334716320038, 0.1514953076839447, 0.1407681554555893, 0.1381746232509613, 0.14164838194847107, 0.15105199813842773, 0.16789913177490234, 0.1896347999572754"
"0.20707495510578156, 0.13194751739501953, 0.11943642795085907, 0.12928590178489685, 0.14533631503582, 0.15988165140151978, 0.16577650606632233, 0.16886749863624573, 0.16620758175849915, 0.15853804349899292","0.20707495510578156, 0.19969017803668976, 0.19443824887275696, 0.19183170795440674, 0.19221432507038116, 0.19612112641334534, 0.20566701889038086, 0.22113052010536194, 0.24064572155475616, 0.260299950838089","0.34520846605300903, 0.32795795798301697, 0.31003063917160034, 0.2917071282863617, 0.2733144164085388, 0.2535216510295868, 0.23159250617027283, 0.2069198191165924, 0.18075108528137207, 0.15853804349899292"
"0.05468610301613808, 0.05153944715857506, 0.055705469101667404, 0.05870455130934715, 0.05712668597698212, 0.05837202072143555, 0.054084014147520065, 0.04953976720571518, 0.04012946039438248, 0.03338214010000229","0.05468610301613808, 0.10672089457511902, 0.1601811796426773, 0.20979812741279602, 0.24928222596645355, 0.2786051034927368, 0.29897981882095337, 0.31815722584724426, 0.33813631534576416, 0.3562127351760864","0.3455474376678467, 0.30273890495300293, 0.2504007816314697, 0.19532060623168945, 0.14592768251895905, 0.10327179729938507, 0.06794936209917068, 0.046073224395513535, 0.035465653985738754, 0.03338214010000229"
"0.18783703446388245, 0.11517519503831863, 0.09075851738452911, 0.07382485270500183, 0.06072617322206497, 0.05142373964190483, 0.04198669269680977, 0.03706132993102074, 0.03351857513189316, 0.029459668323397636","0.18783703446388245, 0.20927205681800842, 0.21720440685749054, 0.22105741500854492, 0.22967280447483063, 0.24058064818382263, 0.24643711745738983, 0.25465407967567444, 0.2769956886768341, 0.3108891546726227","0.36373305320739746, 0.341521680355072, 0.3198345899581909, 0.2895314395427704, 0.2597143054008484, 0.2295857071876526, 0.1772037148475647, 0.11547909677028656, 0.0622578039765358, 0.029459668323397636"
"0.02132488042116165, 0.026694247499108315, 0.0330410934984684, 0.04007333889603615, 0.04322163015604019, 0.047194965183734894, 0.049362242221832275, 0.04649398475885391, 0.045753203332424164, 0.04704214259982109","0.02132488042116165, 0.040865715593099594, 0.07955370843410492, 0.1362985372543335, 0.19866962730884552, 0.2658080458641052, 0.33382338285446167, 0.37242862582206726, 0.38107961416244507, 0.390079140663147","0.4009678065776825, 0.3914666771888733, 0.38800930976867676, 0.3721105456352234, 0.3095964789390564, 0.22971457242965698, 0.16361004114151, 0.11083973944187164, 0.07102909684181213, 0.04704214259982109"
"0.009062656201422215, 0.007922571152448654, 0.009019398130476475, 0.010047564283013344, 0.010217017494142056, 0.010002349503338337, 0.011460727080702782, 0.013164923526346684, 0.015259652398526669, 0.017876364290714264","0.009062656201422215, 0.07467357814311981, 0.21905726194381714, 0.3481321334838867, 0.41083812713623047, 0.4211621880531311, 0.4354642629623413, 0.4481259286403656, 0.48182225227355957, 0.5245657563209534","0.5168593525886536, 0.4616294205188751, 0.4211806654930115, 0.38477569818496704, 0.33926331996917725, 0.2530045807361603, 0.1720675826072693, 0.07963566482067108, 0.029988251626491547, 0.017876364290714264"
"0.022528575733304024, 0.03216283768415451, 0.03692306950688362, 0.04470689594745636, 0.05367620289325714, 0.062259603291749954, 0.07057099789381027, 0.08133889734745026, 0.09954315423965454, 0.13297921419143677","0.022528575733304024, 0.0731549933552742, 0.20641402900218964, 0.2821005582809448, 0.33606433868408203, 0.3664461076259613, 0.39311161637306213, 0.417197585105896, 0.4409621059894562, 0.46600091457366943","0.40167924761772156, 0.39707714319229126, 0.3070729672908783, 0.19764284789562225, 0.1575637310743332, 0.12935547530651093, 0.1153254434466362, 0.11150430142879486, 0.11869746446609497, 0.13297921419143677"
"0.06671303510665894, 0.05775224789977074, 0.058378368616104126, 0.05664757266640663, 0.052167125046253204, 0.049894023686647415, 0.04698542505502701, 0.038968928158283234, 0.03028351441025734, 0.021447263658046722","0.06671303510665894, 0.08913793414831161, 0.12125306576490402, 0.15417280793190002, 0.1873857080936432, 0.21508491039276123, 0.23621001839637756, 0.24936644732952118, 0.2595328986644745, 0.2660636901855469","0.2049081176519394, 0.1753271222114563, 0.1505679041147232, 0.12500827014446259, 0.10107474029064178, 0.07714004069566727, 0.0585905984044075, 0.042150355875492096, 0.030241314321756363, 0.021447263658046722"
"0.021086107939481735, 0.023368505761027336, 0.026375049725174904, 0.03005816414952278, 0.03221955895423889, 0.036778926849365234, 0.045338116586208344, 0.04859306290745735, 0.05791378766298294, 0.07895435392856598","0.021086107939481735, 0.043193064630031586, 0.09163613617420197, 0.14035065472126007, 0.19030886888504028, 0.2556595504283905, 0.35320359468460083, 0.39587536454200745, 0.4210171401500702, 0.45824095606803894","0.3968387842178345, 0.35912206768989563, 0.3350651264190674, 0.32237887382507324, 0.2902931571006775, 0.24333509802818298, 0.21178598701953888, 0.11857591569423676, 0.07003607600927353, 0.07895435392856598"
"0.051083747297525406, 0.048195358365774155, 0.04593365639448166, 0.04261733964085579, 0.03949318826198578, 0.03764668107032776, 0.03519520163536072, 0.03475173935294151, 0.036331165581941605, 0.03897427022457123","0.051083747297525406, 0.05181421339511871, 0.055063847452402115, 0.06039287894964218, 0.06777308881282806, 0.07757528126239777, 0.08944914489984512, 0.10243283957242966, 0.11593618988990784, 0.1301320344209671","0.144234299659729, 0.1281980574131012, 0.11316994577646255, 0.09911148995161057, 0.08636824041604996, 0.07531275600194931, 0.0652516782283783, 0.05425313487648964, 0.044632792472839355, 0.03897427022457123"
"0.11817393451929092, 0.09195803105831146, 0.07536386698484421, 0.05816440284252167, 0.039534032344818115, 0.025761818513274193, 0.01642346940934658, 0.012899463064968586, 0.014782058075070381, 0.022560110315680504","0.11817393451929092, 0.13432373106479645, 0.16120997071266174, 0.19930517673492432, 0.24315622448921204, 0.2895095944404602, 0.33877235651016235, 0.38240277767181396, 0.40838760137557983, 0.43435707688331604","0.4316125512123108, 0.3962095379829407, 0.3387988805770874, 0.2787806987762451, 0.21383917331695557, 0.16236433386802673, 0.12290313094854355, 0.08175134658813477, 0.0440426729619503, 0.022560110315680504"
"0.07656122744083405, 0.06296540796756744, 0.05959168076515198, 0.057422954589128494, 0.05376502126455307, 0.0491638109087944, 0.04569251835346222, 0.0437346026301384, 0.042623549699783325, 0.04819441959261894","0.07656122744083405, 0.07210034132003784, 0.07338722795248032, 0.07856941968202591, 0.08765649795532227, 0.10138608515262604, 0.11935827136039734, 0.13972005248069763, 0.16230396926403046, 0.18693913519382477","0.2328156977891922, 0.2105904519557953, 0.18707799911499023, 0.16272033751010895, 0.1394367218017578, 0.11826835572719574, 0.09796726703643799, 0.07806245982646942, 0.06094713509082794, 0.04819441959261894"
"0.02334379032254219, 0.030184920877218246, 0.03814815729856491, 0.04695165902376175, 0.053864240646362305, 0.06593296676874161, 0.0771702378988266, 0.08885657042264938, 0.10684584081172943, 0.13205905258655548","0.02334379032254219, 0.061460867524147034, 0.10603724420070648, 0.1585034877061844, 0.2161027193069458, 0.27671006321907043, 0.3261857032775879, 0.36909395456314087, 0.4149886667728424, 0.4630874991416931","0.46884575486183167, 0.40946823358535767, 0.3407224416732788, 0.27397844195365906, 0.22451792657375336, 0.18068817257881165, 0.14444108307361603, 0.11911620199680328, 0.11625058948993683, 0.13205905258655548"
"0.08352169394493103, 0.04958651214838028, 0.04353884235024452, 0.047359779477119446, 0.050358980894088745, 0.057844944298267365, 0.06610413640737534, 0.06919486820697784, 0.059938810765743256, 0.04351964592933655","0.08352169394493103, 0.07534167915582657, 0.07040770351886749, 0.07212661951780319, 0.08500251919031143, 0.11500169336795807, 0.16797888278961182, 0.2488279491662979, 0.3503960967063904, 0.48348793387413025","0.5380362868309021, 0.5234313011169434, 0.5022119283676147, 0.4742344915866852, 0.439910352230072, 0.39184874296188354, 0.3158072531223297, 0.22171281278133392, 0.13242432475090027, 0.04351964592933655"
"0.1505882441997528, 0.15958216786384583, 0.16072529554367065, 0.1593674272298813, 0.1621999442577362, 0.15826186537742615, 0.1521693766117096, 0.15131114423274994, 0.1350015103816986, 0.12341046333312988","0.1505882441997528, 0.13045156002044678, 0.14471560716629028, 0.17771507799625397, 0.21389928460121155, 0.25953322649002075, 0.31167295575141907, 0.3248385787010193, 0.32061198353767395, 0.3271956145763397","0.5146264433860779, 0.45337197184562683, 0.4052940011024475, 0.37613168358802795, 0.35343724489212036, 0.3154643476009369, 0.2863518297672272, 0.2184031903743744, 0.1595984548330307, 0.12341046333312988"
